key,name,bucket,dedication
kelly park,Kelly Park,ground,person-unattributed
kenmare shamrocks gaa father breen park,Kenmare Shamrocks GAA (Father Breen Park),ground,clergy
kilcoyne memorial park,Kilcoyne Memorial Park,ground,memorial
killeavy memorial park,Killeavy Memorial Park,ground,memorial
killoe emmet og gfc pairc emmet,Killoe Emmet Óg GFC (Páirc Emmet),ground,patriot
killyan community field,Killyan Community Field,ground,person-unattributed
killygarry athletic grounds,Killygarry Athletic Grounds,ground,person-unattributed
kilmovee shamrocks gaa club canon henry park,"Kilmovee Shamrocks GAA Club, Canon Henry Park",ground,clergy
kirwan park,Kirwan Park,ground,person-unattributed
lig na arigid park,Lig-na-Arigid Park,ground,person-unattributed
mac rory park cardineal ui domnaill c l c g,Mac Rory Park - Cardineal Uí Domnaill c.l.c.g,ground,place-or-other
macfinn park,MacFinn Park,ground,person-unattributed
machale park,MacHale Park,ground,person-unattributed
max mcgrath park,Max McGrath Park,ground,person-unattributed
mccracken park,McCracken Park,ground,patriot
michael cully park,Michael Cully Park,ground,person-unattributed
mick neville park,Mick Neville Park,ground,person-unattributed
millbrook football field,Millbrook Football Field,ground,person-unattributed
netwatch cullen park,Netwatch Cullen Park,ground,person-unattributed
nowlan park,Nowlan Park,ground,person-unattributed
o byrne park,O'Byrne Park,ground,person-unattributed
o cahan park,O'Cahan Park,ground,person-unattributed
o connell park,O'Connell Park,ground,person-unattributed
o connor park,O'Connor Park,ground,person-unattributed
o hagan park,O'Hagan Park,ground,person-unattributed
o moore park,O'Moore Park,ground,person-unattributed
o neill park,O'Neill Park,ground,person-unattributed
o raghallaigh park,O'Raghallaigh Park,ground,person-unattributed
our lady of lourdes park,Our Lady of Lourdes Park,ground,place-or-other
paddy kennedy memorial park annascaul,Paddy Kennedy Memorial Park (Annascaul GAA),ground,memorial
pairc a mhaimin,Páirc a' Mháimín,ground,person-unattributed
pairc an asaigh,Páirc an Asaigh,ground,person-unattributed
pairc an bhreatnaigh,Páirc an Bhreatnaigh GAA,ground,person-unattributed
pairc an chathanaigh,Páirc an Chathanaigh,ground,person-unattributed
pairc antoin o briain,Pairc Antoin O' Briain,ground,place-or-other
pairc athair ui raifeartaigh,Páirc Athair uí Raifeartaigh,ground,place-or-other
pairc camogaiochta iniscartha,Pairc Camogaiochta Iniscartha,ground,person-unattributed
pairc cholmcille,Páirc Cholmcille,ground,person-unattributed
pairc colmcille,Páirc Colmcille,ground,person-unattributed
pairc droichead an chlairin,Páirc Droichead An Chlairin,ground,person-unattributed
pairc droichead ui dhalaigh,Pairc Droichead Uí Dhálaigh,ground,place-or-other
pairc emmet,Páirc Emmet,ground,patriot
pairc emmet,Paírc Emmet,ground,patriot
pairc esler down gaa newry shamrocks,Páirc Esler (Down GAA & Newry Shamrocks GAC),ground,place-or-other
pairc gerry mcdonald,Páirc Gerry McDonald,ground,person-unattributed
pairc imeartha ghaelscoil chill dara,Páirc Imeartha Ghaelscoil Chill Dara,ground,place-or-other
pairc lorcain ui thuathail,Páirc Lorcáin Uí Thuathail,ground,place-or-other
pairc mhuire,Pairc Mhuire,ground,saint
pairc mhuire,Páirc Mhuire,ground,saint
pairc na bpiarsach,Páirc na bPiarsach,ground,person-unattributed
pairc na gcead ultach,Pairc na gCead Ultach,ground,person-unattributed
pairc na mbreathnaigh,Páirc na mBreathnaigh,ground,person-unattributed
pairc na ngael ollscoil na heireann ma nuad,"Páirc na nGael Ollscoil na hÉireann , Má Nuad",ground,place-or-other
pairc na nog main,Pairc na nÓg - Main,ground,person-unattributed
pairc naoimh ciaran,Páirc Naoimh Ciarán,ground,person-unattributed
pairc naomh bhreandain,Páirc Naomh Bhreandáin,ground,saint
pairc naomh fionnan,Páirc Naomh Fionnán,ground,saint
pairc naomh mhuire,Pairc Naomh Mhuire,ground,saint
pairc padraig ui daobhlaion,Pairc Padraig Ui Daobhlaion,ground,place-or-other
pairc peile inis oirr,Páirc Peile Inis Oírr,ground,place-or-other
pairc peile naomh mhichil,Páirc Peile Naomh Mhichíl,ground,saint
pairc perry,Páirc Perry,ground,person-unattributed
pairc ros a mhil,Páirc Ros a' Mhíl,ground,person-unattributed
pairc sean de bruin,Pairc Sean de Bruin,ground,person-unattributed
pairc sean mac diarmada,Páirc Seán Mac Diarmada,ground,patriot
pairc sheamuis stiophain,Pairc Sheamuis Stiopháin,ground,person-unattributed
pairc tailteann,Páirc Tailteann,ground,person-unattributed
pairc ui bhriain,Páirc Uí Bhriain,ground,person-unattributed
pairc ui chonchuir,Páirc Uí Chonchúir,ground,person-unattributed
pairc ui gramhnaigh ath bui clann na ngael,Pairc Ui Gramhnaigh Áth Buí (Clann Na Ngael),ground,place-or-other
pairc ui laoire redmonds,Páirc Uí Laoire - Redmonds GAA Club,ground,place-or-other
pairc ui mhurchu,Páirc Uí Mhurchú,ground,person-unattributed
pairc ui rinn,Páirc Uí Rinn,ground,person-unattributed
pairc ui shiochain,Páirc Uí Shíocháin,ground,person-unattributed
parnell park,Parnell Park,ground,person-unattributed
pearse park,Pearse Park,ground,patriot
pearse stadium,Pearse Stadium,ground,patriot
pj duke memorial park,PJ Duke Memorial Park,ground,memorial
platinum tanks park,Platinum Tanks Park,ground,person-unattributed
railway field,Railway Field,ground,person-unattributed
ramor united park,Ramor United Park,ground,person-unattributed
rathluden park,Rathluden Park,ground,person-unattributed
ray prendergast memorial park,Ray Prendergast Memorial Park,ground,saint
robbie farrell park,Robbie Farrell Park,ground,person-unattributed
robert emmet park,Robert Emmet Park,ground,patriot
roosters park,Roosters Park,ground,person-unattributed
rory o moore park,Rory O'Moore Park,ground,place-or-other
russell park,Russell Park,ground,person-unattributed
saint aidan s park,Saint Aidan's Park,ground,saint
saint anne s park,Saint Anne's Park,ground,saint
saint bartholomew s park,Saint Bartholomew's Park,ground,saint
saint brendan s park,Saint Brendan's Park,ground,saint
saint bridget s park,Saint Bridget's Park,ground,saint
saint endas gaa field,Saint Endas GAA Field,ground,saint
saint farnans park,Saint Farnans Park,ground,saint
saint felim s park,Saint Felim's Park,ground,saint
saint jarlath s park,Saint Jarlath's Park,ground,saint
saint mary s park,Saint Mary's Park,ground,saint
saint mary’s park,Saint Mary’s Park,ground,saint
saint matthew s park,Saint Matthew's Park,ground,saint
saint patrick s park,Saint Patrick's Park,ground,saint
saint patrick s park,Saint Patrick's Park,ground,saint
saint tiernach’s park,Saint Tiernach’s Park,ground,saint
sarsfield park,Sarsfield Park,ground,patriot
school field,School Field,ground,person-unattributed
scoil mhuire ide sports field,Scoil Mhuire & íde Sports field,ground,saint
sean eiffe park,Seán Eiffe Park,ground,person-unattributed
shane mcgettigan memorial park allen gaels,Shane McGettigan Memorial Park - Allen Gaels,ground,memorial
sheelin park,Sheelin Park,ground,person-unattributed
somerton park,Somerton Park,ground,person-unattributed
spink community field,Spink Community Field,ground,person-unattributed
st brendan s park,St. Brendan's Park,ground,saint
st conleth s park,St. Conleth's Park,ground,saint
st finian s park,St. Finian's Park,ground,saint
st mary s athenry kenny park,St Mary's Athenry - Kenny Park,ground,saint
st peregrine s gaa oakview park pitch,St Peregrine's GAA - Oakview park pitch,ground,saint
stack park,Stack Park,ground,person-unattributed
streete parish park and community centre,Streete Parish Park and Community Centre,ground,place-or-other
tank field,Tank Field,ground,person-unattributed
terry coyle park,Terry Coyle Park,ground,person-unattributed
the carrick field,The Carrick Field,ground,person-unattributed
the grove field,The Grove Field,ground,person-unattributed
the henry jones memorial playing fields,The Henry Jones Memorial Playing Fields,ground,memorial
the running field,The Running Field,ground,person-unattributed
thomas ashe park,Thomas Ashe Park,ground,patriot
tony byrne park,Tony Byrne Park,ground,person-unattributed
tullahought sportsfield,Tullahought Sportsfield,ground,person-unattributed
tus gaelic grounds,TUS Gaelic Grounds,ground,person-unattributed
tyholland stadium,Tyholland Stadium,ground,person-unattributed
upmc nowlan park,UPMC Nowlan Park,ground,person-unattributed
walsh park,Walsh Park,ground,person-unattributed
walsh park,Walsh Park,ground,person-unattributed
